Author;Date;Rating;Review;Book_title;Book_author;label
Meowket;02.04.2025;5;"Один из лучших циклов, которые я читала. Лучше ВРИ, небожителей и так далее. Книга нереально интересная, есть неожиданные сюжетные повороты, классное раскрытие персонажей, а также очень приятный слог автора. К слову об авторе)
Фрэнсис один из самых комфортных авторов с одним из самых комфортных фандомом) книгу очень советую к прочтению, вы точно не пожалеете) отдельное внимание хочу уделить коллекционной версии. Она выполнена очень качественно (исходя из первых двух книг, эта явно хуже не будет по качеству)), красиво, и круто.";Песнь Сорокопута. Да здравствует принц!;Фрэнсис Кель;1
Пользователь скрыл свои данные;11.05.2025;3;Не знаю, почему у многих данный цикл вызывает чувство восторга. Довольно проходная книга, плохо прописанный лор, картонные персонажи, поступки которых оставляют вопросы. Развивается всё очень медленно, по итогу все три книги без лишней воды можно было спокойно уместить в одну. Единственный плюс - это издание. Оно шикарное, тут ничего не скажешь. Закладка, потрясающая обложка, срез, иллюстрации.;Песнь Сорокопута. Да здравствует принц!;Фрэнсис Кель;0
Викуля;22.04.2025;5;Принц, как по мне, самая лучшая книга из вышедших по циклу. Очень легкий слог, читается легко и очень интересное повествование. а конец..мм, Фрэнсис умеет красиво закончить книгу. Уже предвкушаю следующую книгу. Коллекционное издание это другой разговор. ОНИ ТАКИЕ КРАСИВЫЕ, А АРТЫ ВНУТРИ ВООБЩЕ ВКУСНЯШКА, покупаем, не пожалеете. Одна из самых красивых коллекционных изданий книг, которые я видела!!;Песнь Сорокопута. Да здравствует принц!;Фрэнсис Кель;1
София;05.05.2025;5;Ааа,я невероятно рада заполучить это издание.Оформление все так же прекрасно,а закладка очень приятный бонус. Вся серия этих книг входит в список моих любимых.Это превосходное фентази по всем параметрам. Продолжение я ещё не читала,но предчувствую невероятные сюжетные повороты.Как минимум иллюстрации заставляют немедленно прочесть эту часть! Всем советую к покупке и прочтению.;Песнь Сорокопута. Да здравствует принц!;Фрэнсис Кель;1
Николай;13.05.2025;2;Книга сложная и совершенно непонятая мной. В тексте очень много опечаток встречается, язык автора грубый и путанный, читая не отпускало ощущение абсолютной глупости и нереальности поступков героев, чем они были вызваны ясно лишь автору. Не прописана атмосфера и мир, постоянные переключения между действующими лицами, бессмыслица происходящего, мозаика собрать которую автору не удалось, или не хотелось.;Тэррлисс: роман;Лия Стеффи;-1
Виктория;20.04.2025;5;Мне понравилось изложение и качество написания. Сюжет конечно же тоже очень интересный и увлекательный. Рекомендую к прочтению каждому любитель почитать в свободное время! Читается легко и на одном дыхании. Обложка очень красиво проиллюстрирована, что невозможно оторвать глаз. Ну и конечно же выражаю благодарность автору этого бестселлера. Очень жду ещё новинки!;Тэррлисс: роман;Лия Стеффи;1
.;07.08.2022;1;не тратьте деньги на этот ужас. лучше купите себе покушать;Тэррлисс: роман;Лия Стеффи;-1
Ирина;28.08.2022;5;Лучшая;Тэррлисс: роман;Лия Стеффи;1
Дмитрий;31.08.2022;5;В этот раз персонажи прописаны лучше, чем в книге Орлеан. Книги Лии улучшаются с каждым разом.;Тэррлисс: роман;Лия Стеффи;1
полярный;03.09.2022;5;Эта вещь уже сильнее написана нежели орлеан или же тот же мутный. В электронной версии столкнулся с недочетами и грамматическими ошибками, но в бумажной версии к счастью не нашел. Довольно неплохая атмосфера, некоторые персонажи зацепили в том числе и главный герой. В книге затронуто некоторое количество серьезных тем и я считаю что лия справилась с их прописанием. Мне понравилось.;Тэррлисс: роман;Лия Стеффи;1
мира;22.10.2022;3;Просто нет слов, сама книга про один сюжет, но в тоже время пишется про другое, я ожидала что будет как в предыдущих 2 книгах, а не постоянно читать про Лиссу, или окунемся в прошлое. Книга интересная но не оправдала ожидания;Тэррлисс: роман;Лия Стеффи;0
Светлана;22.10.2022;3;"Во всех книгах Лии Стеффи присутствует столько штампов и нелогичностей,что плакать хочется. Заметила,что видимо появился редактор,так как грамматических ошибок не наблюдала(хотя, возможно,особо и не вчитывалась,что не заметила). Да,эта книга уже лучше предыдущих двух,но это до сих пор уровень фанфиков на Ваттпад. Думаю, Лии ещё нужно расти как писателю,и, возможно что-то и получится. Оформление не зацепило, оформление того же “Орлеана"" понравилось больше.";Тэррлисс: роман;Лия Стеффи;0
Дарья;27.10.2022;5;Книга заставляет задуматься о том, что ты имеешь больше, чем думаешь. У кого-то может не быть вообще ничего;Тэррлисс: роман;Лия Стеффи;1
Марина;01.11.2022;2;Изначальная идея, лежащая в основе книги, интересная, ее можно раскрыть, сделать акценты на множестве важных проблем. Это был хороший плацдарм для развития качественного сюжета. Однако, такое исполнение ни в коем случае не стоит запрошенных денег и потраченного времени. Меня зацепила обложка и синопсис, но на этом все, что вызывает положительные эмоции, заканчивается. Любовный треугольник, нелепый, плохо проработанный мир, служащий лишь картонной декорацией для персонажей. Флер дешевого любовного сериала, где все постоянно «случайно» пересекаются, дешевые способы вызвать эмоции (попытки изнасилования, дети-инвалиды с жестокими родителями), это должно вызывать сильные эмоции, но не вызывает, ведь дети почти не проработаны, а героиня, которая попадает в ситуацию с истязаниями, не вызывает и капли сочувствия, ведь пол книги перед этим макает всех вокруг себя в грязь из за собственной персональной травмы, в которой виноват ОДИН человек. Отдельный огромный минус за главную героиню, несмотря на все события и всех антагонистов для меня именно она самый мерзкий персонаж, которого я искренне возненавидела всей душой. Это не та героиня, с которой вы захотите себя ассоциировать и точка не та фигура, которой будете сопереживать. Я не имею ничего против Лии Стеффи, как человека, но как к автору у меня лишь один вопрос: «зачем выпускать в печать недоделанный, непроработанный продукт? Кого это научит? Кому какой посыл донесет?»;Тэррлисс: роман;Лия Стеффи;-1
дазай;06.11.2022;1;много сюжетных дыр,плоские персонажи,сюжет вообще оставляет желать лучшего,не советую к покупке!!!!;Тэррлисс: роман;Лия Стеффи;-1
Алина;12.11.2022;5;Книга очень понравилась. Обложка просто обалденная. Сюжет интересный. Пока дочитала только до 7 главы.;Тэррлисс: роман;Лия Стеффи;1
Алина;29.11.2022;5;Очень крутая книга. Книги Лии Стефи с каждым разом лучше и лучше книги;Тэррлисс: роман;Лия Стеффи;1
Алёна;25.10.2023;1;"Книга сплошное клише, диалоги 8 летней девочки просто вводят в ступор, даже при всем печальном опыте ребенок не способен на такие рассуждения
Персонажи совершенно картонные, даже при всей трагичности не испытываешь эмоций
Изначально было понятно, кто подстроил все (не буду спойлерить)
Книга откровенный шлак, жалко потраченных денег
Я крайне разочарована, данный автор теперь в моем « черном списке»";Тэррлисс: роман;Лия Стеффи;-1
Елена;13.12.2023;1;"В данном произведение заметно слабое описание мира, местности, переживаний героев, да и сами персонажи. От чего последние выглядят картонными и к ним сложно проникнуться. По ходу прочтения в сюжете много сюжетных дыр и глупых поступков героев. Многое в тексте просто притянуто за уши.
Так же в тексте присутствует огромное количество грамматических ошибок, что очень бросается в глаза.";Тэррлисс: роман;Лия Стеффи;-1
Мария;15.03.2024;5;Так много негативных отзывов на книгу, поэтому я её и прочитала) И мне все понравилось. Герои живые, сюжет есть. Была цель показать два мира, кординально отличающиеся друг от друга, все получилось. Да, прям радикально и утрировано, но мне это впечатление не испортило. У каждого героя сложная судьба, страшные тайны. Грустно было прощаться с книгой, произведение приносит опустошение.;Тэррлисс: роман;Лия Стеффи;1
Анна;24.03.2024;1;недавно прочитала книгу если можно её таковой назвать. Как по мне я прочитала сочинение 7 класса. Я по прочтению книги всегда проникаюсь героями и их поступками,я по крайней мере читаю качественные книги, в которых ты не можешь предсказать что будет дальше? Как поступит герой? А в этой книге сюжета так такового нет. Я уже молчу про грамматические ошибки, я не понимаю как можно печатать книгу,не проверяя её на ошибки? Я очень разочарована..;Тэррлисс: роман;Лия Стеффи;-1
Виктория;01.05.2024;1;Не тратьте деньги на этот кошмар, лучше купите себе что-то вкусненькое. Не ведитесь на аннотацию. Автор от слова СОВСЕМ не мыслит в литературе. Не умеет подбирать синонимы, половину слов повторяются, персонажи по характерам от одной книги к другой не меняются. Только имена у них разные. Я потратила 800 с копейками рублей в офлайн магазине, за такое Г. Автору нужно самой прочитать пару тройку книг, прежде чем садиться писать;Тэррлисс: роман;Лия Стеффи;-1
Наталья;19.06.2024;1;Книга , которая так же очень быстро набрала популярность в интернете . И я решила в очередной раз дать шанс Лии Стеффи, но очень даже зря . Я до сих пор не понимаю , что я прочитала , так как смысла в книге ноль . Обложка сделана достаточно симпатично и кстати тут более качественные листы . Очень интригующая и достаточно интересная аннатация, но на деле очень плохо . Как и другие книги Лии, эта тоже написана плохо , потому что это не литературный слог , он едва читабельный и скудный . Очень плохое описание , как будто автор не знает о существовании синонимов. О структуре мира так же ничего не известно. Я не понимаю , почему большую часть текста происходят какие-то случайные и рандомные события . У меня так много вопросов по этому произведению и вообще нет ответов . Кстати , тут буквально те же герои , как и в других книгах Лии , только разные имена . Так жалко , что идея интересная , а написание ужасное . В общем не рекомендую.;Тэррлисс: роман;Лия Стеффи;-1
Пользователь скрыл свои данные;02.08.2024;3;"Покупала, когда узнала, что она издавала книги. Лично я хотела сначала выбрать мутный, но по итогу выбрала Тэрлисс из-за красивой обложки.

Вообще, книга со смыслом, но скучно читать.
Мне понравилась тема книги и вообще глубокий смысл в цитатах и ситуацией в которые попадают герои.
Но не понравилось не вся эта запутанность как в турецких сериалах.
А так книга каждому на вкус";Тэррлисс: роман;Лия Стеффи;0
Пользователь скрыл свои данные;09.08.2024;1;Если в «Орлеане» и «Мутном» ещё можно было за что-то зацепиться, то здесь хочется только вцепиться себе в волосы и закричать: «Что вообще происходит в этой книге?» Задумка неплохая: разделение людей на богатых и бедных, которое происходит, к сожалению не только в вымышленных городах, но и нередко встречается в реальной жизни. А вот реализация – просто провал. Слог скудный, сюжет затянутый, герои не отличаются умом, а концовка – это вообще отдельная история. В общем, всё очень и очень плохо. Не советую тратить время;Тэррлисс: роман;Лия Стеффи;-1
Марина;31.01.2025;1;"Я наверное впервые прочитала что-то столь... Банальное, ужасное в повествовании и описании.
Постоянно не могла понять что и как происходит. Перечитывала некоторые моменты потому что БАНАЛЬНО НЕ ПОНИМАЛА КТО ИЛИ ЧТО ДЕЛАЕТ. Перебежки в лицах, то один то другой.
Нужна более детальное описание!!
Нет того чувства что всё происходит в Японии. Нет этого вайба, чувств. Нет ВООБЩЕ НИЧЕГО!
Было такое что какие то лица мелькали, люди которые вообще никак не нужны были в сюжете. Вопрос: зачем тогда из вообще описали? Там и про девушку в платье белом было... и мужичина какой то я даже не запомнила...
Когда читаешь то порой теряется суть самого этого произведения
Впервые я оставляю такой негативный отзыв. Очень пожалела что купила ЭТО....";Мутный;Лия Стеффи;-1
Эублефар Гоша;28.01.2025;1;Это была вторая прочитанная мною книга этого автора. Первая произвела на меня положительное впечатление, поэтому я думала, что также получу удовольствие. Как же я ошиблась. Книга - боль. Книга - страдание. Книга - антиутопия. Если вам не хватает боли и депрессии в жизни, смело берите ее в руки и читайте! Также хочу отметить, что в ней нет цельности. Несколько линий, которые между собой сшиты белыми нитками.;Мутный;Лия Стеффи;-1
Наталья;23.11.2024;1;Книга , которая совершенно не оправдала моих ожиданий. Сюжет, по идее, должен был быть интересным, но вместо этого он оказался запутанным и неубедительным. Персонажи плохо проработаны и выглядят плоскими, их действия кажутся безумно нелогичными и иногда очень даже раздражающими . Описание зачастую чрезмерно затянутое, а стиль автора очень расплывчатый. В общем, не рекомендую!;Мутный;Лия Стеффи;-1
Ксения;04.10.2024;5;Эту книжку я читала 1,5 года назад и после е? прочтения я рыдала пол часа, она мне так понравилась, что это просто не описать словами! После не? у меня появилась любовь к книгам и подобным жанрам. Не хочу делать спойлер тем, кто еще не читал, но стекла там достаточно) Это и вызвало у меня огромный интерес и яркие эмоции после прочитанного. Не знаю, почему здесь так много негативных отзывов, но я безусловно рекомендую к прочтению эту книгу!!;Мутный;Лия Стеффи;1
Пользователь скрыл свои данные;09.08.2024;1;Эта книга представляет собой набор запутанных событий, которые сложно понять с первого раза. Описанный в ней мир ужасен, как уровень знаний пятиклассника. Главная героиня работает в тату-салоне в Японии, что невозможно для иностранки. Это далеко от реальности. Персонажи нереалистичны и появляются на страницах толпой и так же толпой исчезают.;Мутный;Лия Стеффи;-1
Пользователь скрыл свои данные;03.08.2024;2;Сказать, что книга – одно сплошное разочарование, – ничего не сказать. Сюжет, которого можно сказать и нет, высосан из пальца, герои картонные. Ими не проникаешься, им не сочувствуешь, их поступки порой просто не понимаешь. В книге описывается Япония, но атмосферы этой ты просто не ощущаешь. Напиши в одном из предложений «Россия» и ничего не изменится. Ошибки и опечатки – здесь даже комментировать не буду. В общем, покупкой разочарована.;Мутный;Лия Стеффи;-1
Алла;18.05.2024;1;В сюжете этого шедевра много дыр, некоторые главы вообще не прописаны, нет чёткого описания нужного, например, детальное описание персонажей, которые, к слову, выглядят подряд одинаково, что плохо, нет разнообразия. Нелогичные действия, которые без дополнительных пояснений автора присутствуют в книге, написано пару строчек, а дальше сами додумывайте, что и как произошло.;Мутный;Лия Стеффи;-1
Пользователь скрыл свои данные;23.04.2024;1;Самая. Настоящая. Жесть. Книга про Японию, но вопрос: где японцы? Имена персонажей русские, а текст абсолютно пустой, как и сами герои тик токерши. Неужели было так сложно автору узнать поподробнее про японскую культуру, чтобы книга не выглядела настолько ужасно (внутри, имеется в виду). Ошибки до сих пор присутствуют и даже тяжело на них закрыть глаза, ибо настолько они глупы. Эту книгу перед выходом вообще никто не проверял? Честно, даже денег своих не стоит. Бред полнейший;Мутный;Лия Стеффи;-1
Мария;18.03.2024;3;Для меня, это самая слабая книга автора. Возможно, потому что одна из ранних работ. Мне не понравилось. Сюжет очень хаотичный, текст разорван. События повторяются, герои очень плоские и совсем не живые, Очень много второстепенных героев, которые не влияют на сюжет и дальше по тексту просто не появляются. Сюжетные повороты повторяются, да и они очень притянуты и не вызывают интерес. Хотя к автору отношусь хорошо, но эта история очень слабая.;Мутный;Лия Стеффи;0
Анна;23.02.2024;4;я не дочитала эту книгу, прочитала почти до конца осталось всего десять глав, припоминаю там как сильно закрутился сюжет и разонравилось, я такое читать не очень люблю. Но начало лично для меня было нормальное, одиночество, троп от ненависти до любви. Может когда нибудь я дам второй шанс этой книге и перечитаю её или дочитаю. Обложка очень красивая, но читать не удобно.;Мутный;Лия Стеффи;1
андрей;22.01.2024;1;"Очень сложно найти подходящие слова, чтобы описать эту книгу. ""Мутный"" – вот как лучше всего охарактеризовать ее. Прочитав каждую страницу, я остался смущенным и разочарованным.

Первое, что бросается в глаза – это негативный и недоработанный сюжет. Несвязанные события, бессмысленные персонажи и неясные мотивы сделали чтение книги трудным и утомительным. Я чувствовал себя потерянным, толкаемым от одной сцены к другой без какой-либо логической связи.";Мутный;Лия Стеффи;-1
Пользователь скрыл свои данные;22.01.2024;1;"Автор явно не обладает талантом создания оригинальных и запоминающихся персонажей. Каждый из них кажется плоским и лишенным характера. Они не вызывают никакого эмоционального отклика у читателя и не заслуживают внимания.

Стиль написания также оставляет желать лучшего. Отсутствуют яркие описания, бледны диалоги, история течет монотонно и никак не привлекает внимание. Не найдется ни одной страницы, которая заставила бы задержаться и задуматься.

Очень разочарована, потратив свое время на чтение ""Мутного"". Эта книга не стоит ни внимания, ни денег. Рекомендую обходить ее стороной.";Мутный;Лия Стеффи;-1
Елена;13.12.2023;2;"В данной книге как мир, так и герои прописаны очень плохо. От чего она очень сложна для восприятия. В ней очень скомканное описание местности, мира в целом, персонажей и их поступков. На момент прочтения возникает много вопросов, но ответов в книги не следует....
Книга изобилует грамматическими ошибками.
Что касается оформления, то оно не плохое. Переплёт плотный, страницы не самые тонкие.";Мутный;Лия Стеффи;-1
Регина;01.12.2023;1;Это первая книга Лии Стеффи, прочитанная мной. Ну что я могу сказать по данной книге? Да что тут можно сказать, сюжет никакой, главные герои никакие, мир не прописан от слова совсем. Токио, в котором нет ни одного японца. Закрученный сюжет, который в конце не приводит к какому-то вау эффекту. Читать было не интересно, заставляла себя всё же прочесть книгу до конца, так как не люблю оставлять не прочитанные книги.;Мутный;Лия Стеффи;-1
wrmn;08.05.2023;5;Не знаю почему столько гневных отзывов, как для начинающего писателя, я считаю что книги очень даже интересные. Много действий, что мне нравится, но предсказуемые. Достаточно недочетов в сюжете, отношусь к этому лояльно. В целом книга захватывающая. Желаю в дальнейшем Лии успехов, чтобы реже видеть отзывы придирчивых читателей);Мутный;Лия Стеффи;1
Ев;16.03.2023;1;"Очередная ""популярная книга "" От Л.С. в каждой книге одно и тоже, сюжета нет, персонажи просто появляются и так же исчезают, логика отстутствует и книга просто есть, ну есть и есть, просто существует, не советую данную книгу, под неё и не расслабишься и не получишь умственной нагрузки, скорее горечь зря потраченных денег, ибо книга просто ни о чем, если бы не популярность автора, книга утонула бы в небытиях. Персонажи книги отдельное искусство, не раскрытые, не живые просто так же существуют, если убрать любого персонажа, то особо ничего и не изменится";Мутный;Лия Стеффи;-1
Дина;02.03.2023;1;Название полностью оправдывает сюжет этой писанины. От бедности словарного запаса автора хочется плакать, честно. Можно долго расписывать все «фи» к этой книге Стеффи, но по сути она ничем не отличается от предыдущей. Те же ошибки, те же неумелые попытки поднять остросоциальные темы, те же клише. Всё как и раньше — безликое, картонное, по-детски простое.;Мутный;Лия Стеффи;-1
Эмма Миллер;23.01.2023;5;"Я конечно понимаю, что все насмотрелись отзывов Энтони и потом качают права. Я сама смотрю его, но считаю, что нужно составить своё мнение о книге, когда прочитаешь. Если ты не читал книгу и уже плохого мнения о ней, то мне тебя жаль, у тебя нет своего мнения.
В целом книга мне понравилась. В ней нет сюжетных дыр, как в Орлеане, в принципе эта книга про нашу жестокую реальность. Конец не очень, но давайте на чистоту, что мы могли ожидать от гг который занимается нар..??? Книга мне понравилась, все.";Мутный;Лия Стеффи;1
Анна;26.11.2022;1;"!ВОЗМОЖНЫ СПОЙЛЕРЫ!

Ну что ж, начнём.

«Мутного» очень сложно читать, и дело не в том, что там сложный сюжет, как в «Магистре дьявольского культа», нет, просто книга написана ужасно. Слова «улыбался», «ухмыльнулся» и «рассмеялся» чередуются между собой после фразы персонажа постоянно.

Сами герои абсолютно плоские. Да, тебе описывают их внешность - конечно же, как у моделей, - но не то, что происходит у них в голове. Ты читаешь и не можешь понять, почему он/она так поступил(а), так как мотивация отсутствует.

Помимо не раскрытия основных персонажей, также появляются и другие, но только ради драмы на пустом месте. Как это было с мамой Леши. Никаких предпосылок, что она должна появиться в тексте - не было, да и сама Ева говорила, что не считает себя частью их семьи, в следствие чего, не общается с ними. НО приезжает мама Лехи, говорит, что, мол, без Лешки так тяжело, и она не знает, как жить. У Евы случается нервный срыв и она выходит на улицу. И после этого мама Леши пропадает из текста. Ее отсутствие никак не описывается. Ладно, если бы Лия написала, что мать Лешки уехала обратно в США( или где она живет), но нет, Стеффи просто забила на ней болт с мыслью: «да ладно, и так сойдёт, все равно про неё никто больше не вспомнит». И это не единственный такой персонаж. Можно взять компанию Кости. Ева начинает много общаться с Кимом и другими японскими друзьями, а про Василису, Костю и остальных мы не вспоминаем, они просто были и пропали, будто бы их закинули в шкаф с надписью «появятся, когда нужна будет драма на пустом месте». И это действительно так. Они вводятся в текст снова, только для того, чтобы их похитители, а потом бесследно исчезают до конца книги.

Также присутствуют сюжетные дыры. Например, когда Ева сидела у могилы своей матери, за ней наблюдала «женщина с белыми пионами», но нам так и не говорят, что это за женщина. Зачем тогда это нужно было писать, если ты не будешь развивать ветку?

Идём дальше. Ваня и наркотики. Почему он на них подсел? Что у него такого случилось, с чем он не смог справиться? Как он так быстро избавился от зависимости, хотя употреблял их (допустим) месяц? Зависимость развивается с первой же дозы. Хорошо, предположим, что на него повлияла ситуация, когда он ударил Еву, находясь под кайфом. Но слезть с наркотиков без посторонней помощи, да и такому слабому человеку, как Ване, НЕВОЗМОЖНО. Просто книга «Хороший мальчик» вошла в чат??. Там как раз описывается вся эта ситуация с наркотической зависимостью.

Также я не понимаю, как в «Мутном» работает психология. Еву ИЗНАСИЛОВАЛИ - это травма на всю жизнь. Но только не для неё. Через неделю она заводит отношения. Просто замечательно. А через полгода живет, будто ничего не было. Ева НИКОМУ не рассказала об этом, и за полгода полностью восстановилась психологически. ДА ЧТО ЗА БРЕД!!!Такого не бывает.

А главное, Ева простила Глебу изнасилование, но не простила Ваню за то, что тот ударил ее два раза по лицу. Ладно, будем считать, что она не ожидала такого он любимого человека, но как тогда можно забыть об изнасиловании от парня, которому ты доверяла? Я не понимаю логики. Никого тогда не прощай, в чем проблема?

Тема с изнасилованием заслуживает отдельного абзаца. Проблема, поднимающаяся в книге - насилие в любой форме, в которой оно проявляется, недопустимо. Все отлично. Но почему главную героиню хотят изнасиловать каждые 50 страниц!? После слов «он толкнул ее» начиналось одно и то же. Из раза в раз. Я уже не могу нормально воспринимать слово «толкнул».

Конец книги, это что-то с чем-то. Ваня, который сталкерит Еву после расставания. Он стоит у входной двери бывшей девушки и слушает ее шаги, дыхание. Вы хотите сказать, что это нормально? Это нездоровое поведение человека, и в этом нет никакой романтики.

Чуть позже я наткнулась на пост Лии Стеффи, где она спрашивала, как ее фанаты видят альтернативную концовку книги. И сказать честно, я была в шоке с комментариев. Из 70 только ОДИН человек написал, что это были нездоровые отношения. Остальные же твердили, что хотят, чтобы Ева с Ваней помирились, и у них был happy end.

Что же я могу сказать, как итог. К этому я больше не притронусь никогда в жизни. Мне хватило и одного прочтения. Искренне не понимаю, как люди могут воспринимать отношения между Евой и Ваней, как здоровые, и показатель идеальности.";Мутный;Лия Стеффи;-1
Пользователь скрыл свои данные;21.09.2024;5;"У меня есть почти все книги Полярного, но эта — первая, которую я купила не из-за истории, а из-за визуального и тактильного ощущения от книги. Когда я впервые взяла её в руки в книжном магазине, когда начала листать и впитывать в себя страницы этого альбома (для меня это прежде всего именно прекрасно сделанный фотоальбом, а уж потом — текст на страницах альбома), сразу поняла — хочу к себе в коллекцию изданий Полярного! И — купила, конечно же: ведь мечты должны сбываться.

Для меня ""Одна ночь в зимнем саду"" это в первую очередь эстетическое удовольствие: это та книга, которую нет смысла иметь в электронном варианте, я считаю, — только в бумажном: потому что просто прикасаться к ней — само по себе приятно)))";Одна ночь в зимнем саду;Александр Полярный;1
Анастасия;28.02.2024;1;Завязку не понятная, середина тоже, конца нет. Поведения второстепенных персонажей непонятно, что за город , почему люди себя так ведут, по какой причине главная героиня ведёт себя так тупо, почему вместо того чтобы найти гостиницу, она бродит по улице как неприкаянная, непонятно. Наверное, только полярный знает....;Одна ночь в зимнем саду;Александр Полярный;-1
